time_s,cte_true,cte_pred,mc_std,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0.00279,0.28326,0.15662,1,0,0,MODEL,-0.5541,0.100,0.0000,0,none
0.110,0.00279,0.36059,0.17272,1,0,0,MODEL,-0.6276,0.100,0.0000,0,none
0.142,0.00279,0.37914,0.15221,1,0,0,MODEL,-0.6452,0.100,0.0000,0,none
0.173,0.00256,0.33089,0.15953,1,0,0,MODEL,-0.5993,0.100,0.0100,0,none
0.218,0.00217,0.39552,0.15361,1,0,0,MODEL,-0.6607,0.100,0.0192,0,none
0.258,0.00148,0.27758,0.17580,1,0,0,MODEL,-0.5487,0.100,0.0375,0,none
0.304,0.00026,0.17560,0.13417,1,0,0,MODEL,-0.4518,0.100,0.0528,0,none
0.353,-0.00131,0.08947,0.12988,1,0,0,MODEL,-0.3700,0.100,0.0627,0,none
0.404,-0.00291,0.16778,0.13119,1,0,0,MODEL,-0.4444,0.100,0.0780,0,none
0.463,-0.00487,0.13525,0.14387,1,0,0,MODEL,-0.4135,0.100,0.0841,0,none
0.504,-0.00727,0.07265,0.13354,1,0,0,MODEL,-0.3540,0.100,0.0990,0,none
0.556,-0.00993,0.06166,0.14932,1,0,0,MODEL,-0.3436,0.100,0.1108,0,none
0.606,-0.01278,0.01795,0.12254,1,0,0,MODEL,-0.3021,0.100,0.1226,0,none
0.656,-0.01601,0.00033,0.14850,1,0,0,MODEL,-0.2853,0.100,0.1342,0,none
0.707,-0.01938,0.12383,0.16739,1,0,0,MODEL,-0.4026,0.100,0.1458,0,none
0.756,-0.01520,0.04632,0.15501,1,0,0,MODEL,-0.3290,0.100,0.1617,0,none
0.806,-0.03063,-0.07133,0.15966,1,0,0,MODEL,-0.2172,0.100,0.1687,0,none
0.856,-0.03422,-0.00469,0.10937,1,0,0,MODEL,-0.2805,0.100,0.1790,0,none
0.906,-0.03894,0.07451,0.11161,1,0,0,MODEL,-0.3558,0.100,0.1904,0,none
0.955,-0.04513,0.13166,0.16649,1,0,0,MODEL,-0.4101,0.100,0.2011,0,none
1.007,-0.05299,0.16210,0.18046,1,0,0,MODEL,-0.4390,0.100,0.2118,0,none
1.057,-0.06231,0.11579,0.11750,1,0,0,MODEL,-0.3950,0.100,0.2225,0,none
1.111,-0.07273,0.06372,0.10834,1,0,0,MODEL,-0.3455,0.100,0.2331,0,none
1.156,-0.08377,-0.00157,0.09304,1,0,0,MODEL,-0.2835,0.100,0.2437,0,none
1.209,-0.09514,-0.00680,0.08363,1,0,0,MODEL,-0.2785,0.100,0.2541,0,none
1.259,-0.10885,0.03557,0.07734,1,0,0,MODEL,-0.3188,0.100,0.2644,0,none
1.308,-0.12379,0.07088,0.18585,1,0,0,MODEL,-0.3523,0.100,0.2736,0,none
1.357,-0.13374,0.11590,0.12153,1,0,0,MODEL,-0.3951,0.100,0.2848,0,none
1.407,-0.15022,0.05526,0.11253,1,0,0,MODEL,-0.3375,0.100,0.2945,0,none
1.458,-0.16852,-0.00976,0.12404,1,0,0,MODEL,-0.2757,0.100,0.3043,0,none
1.511,-0.18727,-0.08550,0.18828,1,0,0,MODEL,-0.2038,0.100,0.3142,0,none
1.558,-0.20048,0.01022,0.20569,1,0,0,MODEL,-0.2947,0.100,0.3232,0,none
1.611,-0.21960,-0.37103,0.20969,1,0,0,MODEL,0.0675,0.100,0.3340,0,none
1.659,-0.24673,-0.21122,0.14441,1,0,0,MODEL,-0.0843,0.100,0.3425,0,none
1.707,-0.26326,-0.39453,0.17860,1,0,0,MODEL,0.0898,0.100,0.3511,0,none
1.759,-0.28208,-0.24817,0.23135,1,0,0,MODEL,-0.0492,0.100,0.3603,0,none
1.809,-0.29929,-0.45793,0.21264,1,0,0,MODEL,0.1500,0.100,0.3694,0,none
1.858,-0.31799,-0.44943,0.23431,1,0,0,MODEL,0.1420,0.100,0.3783,0,none
1.909,-0.34059,-0.54728,0.17161,1,0,0,MODEL,0.2349,0.100,0.3873,0,none
1.960,-0.35048,-0.54423,0.20172,1,0,0,MODEL,0.2320,0.100,0.3964,0,none
2.009,-0.36380,-0.44281,0.18670,1,0,0,MODEL,0.1357,0.100,0.4052,0,none
2.058,-0.37714,-0.53912,0.13238,1,0,0,MODEL,0.2272,0.100,0.4141,0,none
2.109,-0.39099,-0.47676,0.19065,1,0,0,MODEL,0.1679,0.100,0.4226,0,none
2.160,-0.40303,-0.33558,0.15745,1,0,0,MODEL,0.0338,0.100,0.4313,0,none
2.210,-0.41590,-0.14531,0.18965,1,0,0,MODEL,-0.1470,0.100,0.4398,0,none
2.261,-0.43188,-0.18075,0.18506,1,0,0,MODEL,-0.1133,0.100,0.4480,0,none
2.311,-0.45170,-0.17642,0.17133,1,0,0,MODEL,-0.1174,0.100,0.4563,0,none
2.360,-0.47221,-0.19332,0.15438,1,0,0,MODEL,-0.1013,0.100,0.4645,0,none
2.411,-0.49374,0.21258,0.27016,1,0,0,MODEL,-0.4870,0.100,0.4727,0,none
2.459,-0.51816,0.39594,0.20326,1,0,0,MODEL,-0.6611,0.100,0.4791,0,none
2.510,-0.55303,-0.20106,0.19986,1,0,0,MODEL,-0.0940,0.100,0.4858,0,none
2.560,-0.59272,-0.30421,0.36276,0,1,0,MODEL,-0.0940,0.100,0.4928,0,none
2.612,-0.62460,-0.35677,0.21342,1,0,0,MODEL,0.0539,0.100,0.5007,0,none
2.660,-0.65601,-0.55078,0.24393,1,0,0,MODEL,0.2382,0.100,0.5084,0,none
2.711,-0.68413,-0.94749,0.17058,1,0,0,MODEL,0.6151,0.100,0.5157,0,none
2.763,-0.70532,-0.94073,0.15811,1,0,0,MODEL,0.6087,0.100,0.5210,0,none
2.810,-0.71540,-0.86632,0.14116,1,0,0,MODEL,0.5380,0.100,0.5279,0,none
2.861,-0.72092,-0.83253,0.17560,1,0,0,MODEL,0.5059,0.100,0.5355,0,none
2.913,-0.72379,-0.70275,0.14555,1,0,0,MODEL,0.3826,0.100,0.5430,0,none
2.961,-0.72327,-0.67041,0.15105,1,0,0,MODEL,0.3519,0.100,0.5503,0,none
3.011,-0.72159,-0.63818,0.17165,1,0,0,MODEL,0.3213,0.100,0.5580,0,none
3.059,-0.71846,-0.59911,0.15104,1,0,0,MODEL,0.2842,0.100,0.5653,0,none
3.113,-0.71326,-0.55107,0.18619,1,0,0,MODEL,0.2385,0.100,0.5725,0,none
3.163,-0.70638,-0.38574,0.20360,1,0,0,MODEL,0.0815,0.100,0.5797,0,none
3.212,-0.69901,-0.22020,0.19136,1,0,0,MODEL,-0.0758,0.100,0.5867,0,none
3.264,-0.69463,-0.40158,0.14704,1,0,0,MODEL,0.0965,0.100,0.5935,0,none
3.311,-0.69305,-0.25400,0.18626,1,0,0,MODEL,-0.0437,0.100,0.6001,0,none
3.362,-0.68858,-0.28265,0.16736,1,0,0,MODEL,-0.0165,0.100,0.6068,0,none
3.410,-0.68653,-0.47396,0.13983,1,0,0,MODEL,0.1653,0.100,0.6135,0,none
3.462,-0.68338,-0.55026,0.17229,1,0,0,MODEL,0.2377,0.100,0.6198,0,none
3.514,-0.67453,-0.53252,0.13975,1,0,0,MODEL,0.2209,0.100,0.6261,0,none
3.564,-0.66115,-0.48820,0.15217,1,0,0,MODEL,0.1788,0.100,0.6324,0,none
3.613,-0.64570,-0.51791,0.16767,1,0,0,MODEL,0.2070,0.100,0.6392,0,none
3.665,-0.62893,0.03521,0.16418,1,0,0,MODEL,-0.3184,0.100,0.6454,0,none
3.714,-0.60903,0.19706,0.22609,1,0,0,MODEL,-0.4722,0.100,0.6517,0,none
3.766,-0.60381,0.52064,0.22644,1,0,0,MODEL,-0.7796,0.100,0.6572,0,none
3.814,-0.61162,0.42578,0.30101,0,1,0,MODEL,-0.7796,0.100,0.6581,0,none
3.864,-0.63353,-0.38731,0.15952,1,0,0,MODEL,0.0829,0.100,0.6577,0,none
3.914,-0.66771,-0.62869,0.18629,1,0,0,MODEL,0.3123,0.100,0.6659,0,none
3.965,-0.68173,-0.58460,0.20683,1,0,0,MODEL,0.2704,0.100,0.6692,0,none
4.015,-0.68301,-0.66984,0.15244,1,0,0,MODEL,0.3513,0.100,0.6725,0,none
4.066,-0.68019,-0.72098,0.15692,1,0,0,MODEL,0.3999,0.100,0.6804,0,none
4.115,-0.67188,-0.66975,0.15813,1,0,0,MODEL,0.3513,0.100,0.6841,0,none
4.166,-0.65604,-0.64302,0.15487,1,0,0,MODEL,0.3259,0.100,0.6946,0,none
4.215,-0.63798,-0.56711,0.15994,1,0,0,MODEL,0.2538,0.100,0.6944,0,none
4.265,-0.61493,-0.47467,0.21450,1,0,0,MODEL,0.1659,0.100,0.7073,0,none
4.316,-0.59105,-0.54631,0.17788,1,0,0,MODEL,0.2340,0.100,0.7069,0,none
4.364,-0.56445,-0.41985,0.15813,1,0,0,MODEL,0.1139,0.100,0.7158,0,none
4.414,-0.53539,-0.46137,0.18345,1,0,0,MODEL,0.1533,0.100,0.7158,0,none
4.466,-0.50578,-0.34715,0.16015,1,0,0,MODEL,0.0448,0.100,0.7271,0,none
4.514,-0.47480,-0.35784,0.18262,1,0,0,MODEL,0.0549,0.100,0.7272,0,none
4.567,-0.44437,-0.41036,0.18012,1,0,0,MODEL,0.1048,0.100,0.7379,0,none
4.614,-0.41314,-0.33609,0.15911,1,0,0,MODEL,0.0343,0.100,0.7404,0,none
4.667,-0.37851,-0.44092,0.15033,1,0,0,MODEL,0.1339,0.100,0.7499,0,none
4.716,-0.34542,-0.39922,0.14567,1,0,0,MODEL,0.0943,0.100,0.7500,0,none
4.766,-0.30713,-0.20580,0.13066,1,0,0,MODEL,-0.0895,0.100,0.7594,0,none
4.817,-0.26987,-0.12655,0.13075,1,0,0,MODEL,-0.1648,0.100,0.7591,0,none
4.868,-0.23836,-0.18192,0.14182,1,0,0,MODEL,-0.1122,0.100,0.7682,0,none
4.918,-0.21122,0.02839,0.11053,1,0,0,MODEL,-0.3120,0.100,0.7720,0,none
4.968,-0.18533,-0.15644,0.12198,1,0,0,MODEL,-0.1364,0.100,0.7766,0,none
5.018,-0.16831,-0.16181,0.14025,1,0,0,MODEL,-0.1313,0.100,0.7812,0,none
5.068,-0.15016,-0.11254,0.11914,1,0,0,MODEL,-0.1781,0.100,0.7862,0,none
5.119,-0.13339,-0.21068,0.16103,1,0,0,MODEL,-0.0849,0.100,0.7910,0,none
5.167,-0.12046,-0.04414,0.11216,1,0,0,MODEL,-0.2431,0.100,0.7959,0,none
5.215,-0.10743,-0.19423,0.15513,1,0,0,MODEL,-0.1005,0.100,0.8003,0,none
5.267,-0.10157,-0.07807,0.12313,1,0,0,MODEL,-0.2108,0.100,0.8048,0,none
5.317,-0.09513,-0.16461,0.12167,1,0,0,MODEL,-0.1286,0.100,0.8094,0,none
5.368,-0.09433,0.01999,0.11486,1,0,0,MODEL,-0.3040,0.100,0.8138,0,none
5.418,-0.09550,-0.00635,0.09411,1,0,0,MODEL,-0.2790,0.100,0.8181,0,none
5.467,-0.10546,-0.07910,0.12024,1,0,0,MODEL,-0.2099,0.100,0.8222,0,none
5.517,-0.12067,0.02254,0.08867,1,0,0,MODEL,-0.3064,0.100,0.8268,0,none
5.567,-0.13848,-0.07435,0.10545,1,0,0,MODEL,-0.2144,0.100,0.8311,0,none
5.619,-0.16389,-0.01621,0.10695,1,0,0,MODEL,-0.2696,0.100,0.8354,0,none
5.669,-0.19210,-0.03690,0.09474,1,0,0,MODEL,-0.2499,0.100,0.8397,0,none
5.717,-0.22640,-0.00234,0.08982,1,0,0,MODEL,-0.2828,0.100,0.8439,0,none
5.767,-0.26560,-0.00446,0.10547,1,0,0,MODEL,-0.2808,0.100,0.8482,0,none
5.817,-0.31095,-0.04305,0.09855,1,0,0,MODEL,-0.2441,0.100,0.8523,0,none
5.869,-0.18396,-0.21949,0.13923,1,0,0,MODEL,-0.0765,0.100,0.8565,0,none
5.920,-0.32794,-0.51618,0.14129,1,0,0,MODEL,0.2054,0.100,0.8607,0,none
5.967,-0.47061,-0.63542,0.16647,1,0,0,MODEL,0.3187,0.100,0.8648,0,none
6.018,-0.60497,-0.65937,0.14569,1,0,0,MODEL,0.3414,0.100,0.8672,0,none
6.068,-0.72887,-0.68611,0.14481,1,0,0,MODEL,0.3668,0.100,0.8707,0,none
6.119,-0.84569,-0.67877,0.17161,1,0,0,MODEL,0.3598,0.100,0.8744,0,none
6.171,-0.95507,-0.92979,0.17988,1,0,0,MODEL,0.5983,0.100,0.8781,0,none
6.219,-0.90556,-1.04049,0.32450,0,1,0,MODEL,0.5983,0.100,0.8805,0,none
6.269,-1.07824,-1.22398,0.30509,0,2,0,MODEL,0.5983,0.100,0.8826,0,none
6.318,-1.23936,-1.32502,0.36998,0,3,0,MODEL,0.5983,0.100,0.8859,0,none
6.369,-1.38954,-1.45429,0.30830,0,4,0,MODEL,0.5983,0.100,0.8892,0,none
6.420,-1.52838,-1.59714,0.29321,0,5,0,MODEL,0.5983,0.100,0.8925,0,none
6.470,-1.65557,-1.79774,0.25883,1,0,0,MODEL,1.0000,0.100,0.8957,0,none
6.521,-1.77079,-1.91785,0.21684,1,0,0,MODEL,1.0000,0.100,0.8989,0,none
6.569,-1.68350,-1.90013,0.42850,0,1,0,MODEL,1.0000,0.100,0.8932,0,none
6.619,-1.83674,-1.94424,0.46591,0,2,0,MODEL,1.0000,0.100,0.8946,0,none
6.669,-1.97049,-2.14847,0.28497,0,3,0,MODEL,1.0000,0.100,0.8962,0,none
6.721,-2.08405,-2.07362,0.24003,1,0,0,MODEL,1.0000,0.100,0.8978,0,none
6.771,-2.17687,-2.20890,0.17854,1,0,0,MODEL,1.0000,0.100,0.8994,0,none
6.803,-2.24848,-2.26838,0.30872,0,1,0,MODEL,1.0000,0.100,0.9009,0,none
6.853,-2.29851,-2.04541,0.54550,0,2,0,MODEL,1.0000,0.100,0.9025,0,none
6.903,-2.11564,-1.92189,0.74239,0,3,0,MODEL,1.0000,0.100,0.9040,0,none
6.952,-2.21798,-2.00676,0.38413,0,4,0,MODEL,1.0000,0.100,0.9054,0,none
7.005,-2.29897,-1.89434,0.64707,0,5,0,MODEL,1.0000,0.100,0.9069,0,none
7.054,-2.35821,-1.86552,0.42606,0,6,0,MODEL,1.0000,0.100,0.9083,0,none
7.106,-2.39536,-2.05175,0.39135,0,7,0,MODEL,1.0000,0.100,0.9097,0,none
7.154,-2.41017,-2.04782,0.25337,1,0,0,MODEL,1.0000,0.100,0.9111,0,none
7.204,-2.40248,-2.08387,0.30194,0,1,0,MODEL,1.0000,0.100,0.9125,0,none
7.256,-2.13369,-2.09529,0.29965,0,2,0,MODEL,1.0000,0.100,0.9138,0,none
7.305,-2.17935,-1.85765,0.67711,0,3,0,MODEL,1.0000,0.100,0.9151,0,none
