time_s,cte_true,cte_pred,mc_std,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0.00076,0.07579,0.12868,1,0,0,MODEL,-0.3570,0.100,0.0000,0,none
0.098,0.00076,0.11636,0.19579,1,0,0,MODEL,-0.3955,0.100,0.0000,0,none
0.126,0.00076,0.11764,0.15460,1,0,0,MODEL,-0.3968,0.100,0.0069,0,none
0.176,0.00056,0.08512,0.16023,1,0,0,MODEL,-0.3659,0.100,0.0218,0,none
0.225,-0.00005,0.10150,0.15406,1,0,0,MODEL,-0.3814,0.100,0.0321,0,none
0.276,-0.00068,0.11685,0.15182,1,0,0,MODEL,-0.3960,0.100,0.0407,0,none
0.325,-0.00158,0.13214,0.16190,1,0,0,MODEL,-0.4105,0.100,0.0559,0,none
0.375,-0.00284,0.10086,0.17546,1,0,0,MODEL,-0.3808,0.100,0.0722,0,none
0.428,-0.00488,0.19565,0.19698,1,0,0,MODEL,-0.4709,0.100,0.0818,0,none
0.480,-0.00706,0.10488,0.10811,1,0,0,MODEL,-0.3846,0.100,0.0938,0,none
0.527,-0.00961,0.08452,0.08356,1,0,0,MODEL,-0.3653,0.100,0.1062,0,none
0.577,-0.01222,0.14833,0.15293,1,0,0,MODEL,-0.4259,0.100,0.1182,0,none
0.629,-0.01527,0.05652,0.13328,1,0,0,MODEL,-0.3387,0.100,0.1297,0,none
0.677,-0.01895,0.06505,0.16240,1,0,0,MODEL,-0.3468,0.100,0.1413,0,none
0.727,-0.01940,0.10356,0.13725,1,0,0,MODEL,-0.3834,0.100,0.1658,0,none
0.779,-0.02416,0.13216,0.14620,1,0,0,MODEL,-0.4106,0.100,0.1723,0,none
0.828,-0.03411,0.01208,0.10516,1,0,0,MODEL,-0.2965,0.100,0.1758,0,none
0.879,-0.03854,0.13398,0.18566,1,0,0,MODEL,-0.4123,0.100,0.1868,0,none
0.927,-0.04472,0.09374,0.13190,1,0,0,MODEL,-0.3741,0.100,0.1973,0,none
0.977,-0.05246,0.06417,0.12625,1,0,0,MODEL,-0.3460,0.100,0.2082,0,none
1.028,-0.06066,0.04683,0.17247,1,0,0,MODEL,-0.3295,0.100,0.2190,0,none
1.079,-0.06944,0.03671,0.05956,1,0,0,MODEL,-0.3199,0.100,0.2297,0,none
1.128,-0.07898,0.09631,0.21065,1,0,0,MODEL,-0.3765,0.100,0.2402,0,none
1.179,-0.08945,0.10869,0.13850,1,0,0,MODEL,-0.3883,0.100,0.2506,0,none
1.229,-0.10167,0.09594,0.09113,1,0,0,MODEL,-0.3761,0.100,0.2609,0,none
1.280,-0.12150,0.07982,0.15725,1,0,0,MODEL,-0.3608,0.100,0.2710,0,none
1.328,-0.13015,0.07465,0.08697,1,0,0,MODEL,-0.3559,0.100,0.2808,0,none
1.378,-0.14560,0.01798,0.10046,1,0,0,MODEL,-0.3021,0.100,0.2913,0,none
1.430,-0.16282,0.07674,0.09943,1,0,0,MODEL,-0.3579,0.100,0.3011,0,none
1.481,-0.18081,0.04305,0.15059,1,0,0,MODEL,-0.3259,0.100,0.3109,0,none
1.527,-0.20076,0.03589,0.10269,1,0,0,MODEL,-0.3191,0.100,0.3206,0,none
1.577,-0.21494,0.21260,0.16430,1,0,0,MODEL,-0.4870,0.100,0.3315,0,none
1.631,-0.24574,0.21283,0.23765,1,0,0,MODEL,-0.4872,0.100,0.3396,0,none
1.680,-0.27297,0.18779,0.26716,1,0,0,MODEL,-0.4634,0.100,0.3491,0,none
1.730,-0.30265,0.14450,0.14443,1,0,0,MODEL,-0.4223,0.100,0.3583,0,none
1.781,-0.33458,0.16001,0.14056,1,0,0,MODEL,-0.4370,0.100,0.3675,0,none
1.828,-0.36834,0.15972,0.16210,1,0,0,MODEL,-0.4367,0.100,0.3766,0,none
1.879,-0.41089,-0.02317,0.13104,1,0,0,MODEL,-0.2630,0.100,0.3857,0,none
1.931,-0.44740,0.02747,0.12200,1,0,0,MODEL,-0.3111,0.100,0.3987,0,none
1.982,-0.48107,-0.04766,0.13171,1,0,0,MODEL,-0.2397,0.100,0.4036,0,none
2.030,-0.52133,-0.08689,0.13884,1,0,0,MODEL,-0.2025,0.100,0.4125,0,none
2.080,-0.56264,-0.04444,0.11026,1,0,0,MODEL,-0.2428,0.100,0.4212,0,none
2.130,-0.60530,-0.11053,0.18009,1,0,0,MODEL,-0.1800,0.100,0.4298,0,none
2.179,-0.65027,-0.11595,0.13022,1,0,0,MODEL,-0.1748,0.100,0.4383,0,none
2.231,-0.69616,-0.10904,0.12032,1,0,0,MODEL,-0.1814,0.100,0.4468,0,none
2.281,-0.74374,-0.06828,0.12025,1,0,0,MODEL,-0.2201,0.100,0.4551,0,none
2.331,-0.79349,-0.04934,0.13040,1,0,0,MODEL,-0.2381,0.100,0.4633,0,none
2.382,-0.84607,-0.05291,0.16593,1,0,0,MODEL,-0.2347,0.100,0.4715,0,none
2.431,-0.90128,-0.10532,0.13189,1,0,0,MODEL,-0.1849,0.100,0.4795,0,none
2.482,-0.95857,-0.08379,0.19052,1,0,0,MODEL,-0.2054,0.100,0.4876,0,none
2.532,-1.01730,-0.00012,0.10382,1,0,0,MODEL,-0.2849,0.100,0.4955,0,none
2.582,-1.07895,0.09183,0.25020,1,0,0,MODEL,-0.3722,0.100,0.5032,0,none
2.631,-1.14520,0.29107,0.25457,1,0,0,MODEL,-0.5615,0.100,0.5106,0,none
2.683,-1.21743,0.36593,0.44973,0,1,0,MODEL,-0.5615,0.100,0.5173,0,none
2.732,-1.29759,0.71733,0.49759,0,2,0,MODEL,-0.5615,0.100,0.5246,0,none
2.782,-1.38308,0.94222,0.37858,0,3,0,FALLBACK,1.0000,0.100,0.5319,0,none
2.832,-1.46648,1.00049,0.39783,0,3,0,FALLBACK,1.0000,0.100,0.5219,0,none
2.882,-1.51474,1.01327,0.40746,0,3,0,FALLBACK,1.0000,0.100,0.5230,0,none
2.933,-1.55325,1.03362,0.37987,0,3,0,FALLBACK,1.0000,0.100,0.5295,0,none
2.981,-1.58509,0.96014,0.42881,0,3,0,FALLBACK,1.0000,0.100,0.5359,0,none
3.032,-1.60958,0.28184,0.65303,0,3,0,FALLBACK,1.0000,0.100,0.5422,0,none
3.083,-1.62638,0.11711,0.64874,0,3,0,FALLBACK,1.0000,0.100,0.5485,0,none
3.134,-1.63519,0.14485,0.87151,0,3,0,FALLBACK,1.0000,0.100,0.5547,0,none
3.183,-1.63572,0.10802,0.50832,0,3,0,FALLBACK,1.0000,0.100,0.5608,0,none
3.234,-1.62769,-0.17930,0.54283,0,3,0,FALLBACK,1.0000,0.100,0.5668,0,none
3.281,-1.61084,-0.31573,0.47720,0,3,0,FALLBACK,1.0000,0.100,0.5728,0,none
3.333,-1.58492,-0.36009,0.36936,0,3,0,FALLBACK,1.0000,0.100,0.5787,0,none
3.383,-1.54970,-0.81800,0.35536,0,3,0,FALLBACK,1.0000,0.100,0.5845,0,none
3.435,-1.50496,-0.94914,0.38981,0,3,0,FALLBACK,1.0000,0.100,0.5902,0,none
3.483,-1.45052,-1.09599,0.30269,0,3,0,FALLBACK,1.0000,0.100,0.5959,0,none
3.533,-1.38619,-1.08139,0.30551,0,3,0,FALLBACK,1.0000,0.100,0.6015,0,none
3.583,-1.31183,-1.06467,0.23114,1,3,1,FALLBACK,1.0000,0.100,0.6070,0,none
3.633,-1.22732,-1.04275,0.23660,1,3,2,FALLBACK,1.0000,0.100,0.6125,0,none
3.685,-1.13256,-0.96474,0.25318,1,3,3,FALLBACK,1.0000,0.100,0.6179,0,none
3.736,-1.02746,-0.91237,0.25391,1,3,4,FALLBACK,1.0000,0.100,0.6232,0,none
3.784,-0.91199,-0.65104,0.24597,1,3,5,FALLBACK,1.0000,0.100,0.6285,0,none
3.838,-0.78592,-0.28391,0.20722,1,3,6,FALLBACK,1.0000,0.100,0.6342,0,none
3.885,-0.64965,-0.19546,0.17609,1,3,7,FALLBACK,1.0000,0.100,0.6389,0,none
3.935,-0.50280,-0.11630,0.14722,1,3,8,FALLBACK,0.2798,0.100,0.6442,0,none
3.986,-0.35027,-0.14915,0.12202,1,3,9,FALLBACK,-0.5114,0.100,0.6443,0,none
4.035,-0.21146,-0.10466,0.12205,1,3,10,FALLBACK,-1.0000,0.100,0.6615,0,none
4.085,-0.09739,-0.05077,0.14443,1,3,11,FALLBACK,-1.0000,0.100,0.6483,0,none
4.133,-0.00174,-0.01034,0.10371,1,3,12,FALLBACK,-1.0000,0.100,0.6492,0,none
4.184,0.08170,0.01657,0.06992,1,3,13,FALLBACK,-1.0000,0.100,0.6565,0,none
4.234,0.15544,0.02939,0.06759,1,3,14,FALLBACK,-1.0000,0.100,0.6582,0,none
4.285,0.21671,0.04439,0.12359,1,3,15,FALLBACK,-1.0000,0.100,0.6659,0,none
4.336,0.26757,0.14722,0.15106,1,3,16,FALLBACK,-1.0000,0.100,0.6669,0,none
4.383,0.30536,0.14289,0.14757,1,3,17,FALLBACK,-1.0000,0.100,0.6755,0,none
4.434,0.33222,0.21863,0.14633,1,3,18,FALLBACK,-1.0000,0.100,0.6752,0,none
4.487,0.34547,0.12504,0.14527,1,3,19,FALLBACK,-1.0000,0.100,0.6850,0,none
4.535,0.34734,0.08772,0.12459,1,3,20,FALLBACK,-1.0000,0.100,0.6833,0,none
4.586,0.33517,0.10644,0.15343,1,3,21,FALLBACK,-1.0000,0.100,0.6944,0,none
4.635,0.31126,0.02609,0.11958,1,3,22,FALLBACK,-1.0000,0.100,0.6912,0,none
4.686,0.27300,0.05789,0.16708,1,3,23,FALLBACK,-1.0000,0.100,0.7036,0,none
4.736,0.22277,0.00043,0.09348,1,3,24,FALLBACK,-1.0000,0.100,0.6988,0,none
4.785,0.15798,0.00557,0.11770,1,3,25,FALLBACK,-1.0000,0.100,0.7124,0,none
4.836,0.08099,0.02652,0.08375,1,3,26,FALLBACK,-1.0000,0.100,0.7064,0,none
4.887,-0.01065,0.07081,0.05782,1,3,27,FALLBACK,-0.9885,0.100,0.7211,0,none
4.937,-0.11442,0.03266,0.09234,1,3,28,FALLBACK,-0.4090,0.100,0.7139,0,none
4.986,-0.23145,-0.00425,0.11511,1,3,29,FALLBACK,0.2424,0.100,0.7266,0,none
5.036,-0.33968,0.04272,0.10807,1,0,30,MODEL,-0.3256,0.100,0.7254,0,none
5.086,-0.42991,0.01379,0.12327,1,0,30,MODEL,-0.2981,0.100,0.7317,0,none
5.137,-0.53690,0.00880,0.15605,1,0,30,MODEL,-0.2934,0.100,0.7364,0,none
5.187,-0.65005,-0.09242,0.14213,1,0,30,MODEL,-0.1972,0.100,0.7415,0,none
5.237,-0.76678,-0.00262,0.11707,1,0,30,MODEL,-0.2825,0.100,0.7446,0,none
5.288,-0.88560,0.04339,0.16097,1,0,30,MODEL,-0.3262,0.100,0.7525,0,none
5.337,-1.01049,0.25033,0.27402,1,0,30,MODEL,-0.5228,0.100,0.7555,0,none
5.388,-1.14253,0.41926,0.42206,0,1,30,MODEL,-0.5228,0.100,0.7605,0,none
5.438,-1.28672,0.67140,0.39175,0,2,30,MODEL,-0.5228,0.100,0.7643,0,none
5.488,-1.43966,1.17527,0.28108,1,0,30,MODEL,-1.0000,0.100,0.7693,0,none
5.538,-1.60151,1.38176,0.29128,0,1,30,MODEL,-1.0000,0.100,0.7695,0,none
5.589,-1.78611,1.60873,0.28860,0,2,30,MODEL,-1.0000,0.100,0.7697,0,none
5.639,-1.98520,1.40110,0.30777,0,3,0,FALLBACK,1.0000,0.100,0.7733,0,none
5.687,-2.19636,0.87416,0.26164,1,3,1,FALLBACK,1.0000,0.100,0.7812,0,none
5.736,-2.36895,0.65013,0.19080,1,3,2,FALLBACK,1.0000,0.100,0.7328,0,none
5.789,-2.50710,0.70866,0.22781,1,3,3,FALLBACK,1.0000,0.100,0.7412,0,none
5.839,-2.63337,0.73590,0.27916,1,3,4,FALLBACK,1.0000,0.100,0.7470,0,none
5.888,-2.74671,0.85171,0.23781,1,3,5,FALLBACK,1.0000,0.100,0.7487,0,none
5.938,-2.84635,0.86454,0.22833,1,3,6,FALLBACK,1.0000,0.100,0.7534,0,none
5.988,-2.93180,0.83061,0.26248,1,3,7,FALLBACK,1.0000,0.100,0.7566,0,none
6.038,-3.00260,0.85461,0.19828,1,3,8,FALLBACK,1.0000,0.100,0.7604,0,none
6.091,-3.05836,0.89277,0.16210,1,3,9,FALLBACK,1.0000,0.100,0.7639,0,none
6.123,-3.09870,0.88595,0.21327,1,3,10,FALLBACK,1.0000,0.100,0.7674,0,none
6.176,-3.12330,1.03243,0.21491,1,3,11,FALLBACK,1.0000,0.100,0.7709,0,none
6.223,-3.13187,1.18930,0.25725,1,3,12,FALLBACK,1.0000,0.100,0.7743,0,none
6.276,-2.90656,1.16384,0.24367,1,3,13,FALLBACK,1.0000,0.100,0.7777,0,none
6.325,-2.96618,0.99825,0.13939,1,3,14,FALLBACK,1.0000,0.100,0.7810,0,none
6.376,-3.00971,0.98454,0.27327,1,3,15,FALLBACK,1.0000,0.100,0.7843,0,none
6.425,-3.03679,0.97903,0.31287,0,3,0,FALLBACK,1.0000,0.100,0.7875,0,none
6.476,-3.04715,0.76580,0.39346,0,3,0,FALLBACK,1.0000,0.100,0.7907,0,none
6.523,-3.04056,1.06413,0.39395,0,3,0,FALLBACK,1.0000,0.100,0.7938,0,none
6.576,-3.01682,1.20541,0.19058,1,3,1,FALLBACK,1.0000,0.100,0.7969,0,none
6.625,-2.97582,1.30134,0.24713,1,3,2,FALLBACK,1.0000,0.100,0.8000,0,none
6.675,-2.91747,1.36262,0.33751,0,3,0,FALLBACK,1.0000,0.100,0.8030,0,none
6.726,-2.63379,0.90457,0.37541,0,3,0,FALLBACK,1.0000,0.100,0.8060,0,none
6.776,-2.62664,0.68966,0.69814,0,3,0,FALLBACK,1.0000,0.100,0.8089,0,none
6.826,-2.60171,0.86808,0.65248,0,3,0,FALLBACK,1.0000,0.100,0.8118,0,none
6.877,-2.55888,0.90060,0.84584,0,3,0,FALLBACK,1.0000,0.100,0.8146,0,none
6.927,-2.49810,0.88602,0.68771,0,3,0,FALLBACK,1.0000,0.100,0.8174,0,none
6.977,-2.41936,0.65236,0.49809,0,3,0,FALLBACK,1.0000,0.100,0.8202,0,none
7.027,-2.32275,0.68171,0.75122,0,3,0,FALLBACK,1.0000,0.100,0.8229,0,none
7.077,-2.20839,0.40264,0.70467,0,3,0,FALLBACK,1.0000,0.100,0.8256,0,none
7.128,-1.83854,-0.47681,0.56403,0,3,0,FALLBACK,1.0000,0.100,0.8283,0,none
7.178,-1.77380,-0.62923,0.32555,0,3,0,FALLBACK,1.0000,0.100,0.8309,0,none
7.227,-1.69057,-0.98174,0.23183,1,3,1,FALLBACK,1.0000,0.100,0.8334,0,none
7.279,-1.58896,-0.73712,0.35744,0,3,0,FALLBACK,1.0000,0.100,0.8360,0,none
7.327,-1.46914,-0.59292,0.23900,1,3,1,FALLBACK,1.0000,0.100,0.8385,0,none
7.378,-1.33133,-0.48685,0.20504,1,3,2,FALLBACK,1.0000,0.100,0.8409,0,none
7.428,-1.17585,-0.48158,0.22541,1,3,3,FALLBACK,1.0000,0.100,0.8434,0,none
7.477,-1.00305,-0.35741,0.14675,1,3,4,FALLBACK,1.0000,0.100,0.8458,0,none
7.529,-0.59901,-0.17565,0.14717,1,3,5,FALLBACK,-0.5251,0.100,0.8481,0,none
7.579,-0.47943,-0.08075,0.11253,1,3,6,FALLBACK,0.2992,0.100,0.8340,0,none
7.628,-0.39744,0.04983,0.11280,1,3,7,FALLBACK,0.0772,0.100,0.8268,0,none
7.679,-0.29776,0.08398,0.11892,1,3,8,FALLBACK,-0.5096,0.100,0.8336,0,none
7.729,-0.20392,0.14586,0.15547,1,3,9,FALLBACK,-0.9496,0.100,0.8309,0,none
7.779,-0.13781,0.21291,0.15065,1,3,10,FALLBACK,-1.0000,0.100,0.8291,0,none
7.830,-0.10130,0.15865,0.19683,1,3,11,FALLBACK,-1.0000,0.100,0.8306,0,none
7.879,0.08370,0.09032,0.12110,1,3,12,FALLBACK,-1.0000,0.100,0.8328,0,none
7.931,-0.00799,-0.02973,0.11458,1,3,13,FALLBACK,-1.0000,0.100,0.8354,0,none
7.978,-0.11799,-0.08440,0.14788,1,3,14,FALLBACK,-0.3601,0.100,0.8379,0,none
8.031,-0.24114,-0.01314,0.19147,1,3,15,FALLBACK,0.3215,0.100,0.8395,0,none
8.079,-0.35191,0.01943,0.17844,1,3,16,FALLBACK,0.8134,0.100,0.8402,0,none
8.130,-0.43603,0.14446,0.22872,1,3,17,FALLBACK,1.0000,0.100,0.8383,0,none
8.182,-0.49015,0.06905,0.17745,1,3,18,FALLBACK,1.0000,0.100,0.8381,0,none
8.231,-0.40353,0.05471,0.15816,1,3,19,FALLBACK,0.0846,0.100,0.8398,0,none
8.281,-0.50993,-0.02687,0.16556,1,3,20,FALLBACK,1.0000,0.100,0.8366,0,none
8.330,-0.62968,-0.07011,0.18773,1,3,21,FALLBACK,1.0000,0.100,0.8293,0,none
8.381,-0.71022,-0.03652,0.12188,1,3,22,FALLBACK,1.0000,0.100,0.8299,0,none
8.430,-0.77062,0.01475,0.14070,1,3,23,FALLBACK,1.0000,0.100,0.8324,0,none
8.481,-0.81284,0.21762,0.22725,1,3,24,FALLBACK,1.0000,0.100,0.8350,0,none
8.529,-0.65949,-0.07723,0.07923,1,3,25,FALLBACK,1.0000,0.100,0.8375,0,none
8.581,-0.75335,-0.03149,0.14074,1,3,26,FALLBACK,1.0000,0.100,0.8400,0,none
8.633,-0.82894,-0.18263,0.15004,1,3,27,FALLBACK,1.0000,0.100,0.8424,0,none
8.681,-0.88586,-0.20119,0.16099,1,3,28,FALLBACK,1.0000,0.100,0.8448,0,none
8.731,-0.92374,-0.07153,0.12235,1,3,29,FALLBACK,1.0000,0.100,0.8472,0,none
8.781,-0.94232,-0.04362,0.12854,1,0,30,MODEL,-0.2436,0.100,0.8495,0,none
8.831,-0.94883,-0.04074,0.12926,1,0,30,MODEL,-0.2463,0.100,0.8396,0,none
8.880,-0.84082,0.12876,0.22205,1,0,30,MODEL,-0.4073,0.100,0.8467,0,none
8.930,-0.97902,0.35004,0.41188,0,1,30,MODEL,-0.4073,0.100,0.8496,0,none
8.982,-1.12813,0.26015,0.54567,0,2,30,MODEL,-0.4073,0.100,0.8535,0,none
9.032,-1.28552,0.53272,0.66820,0,3,0,FALLBACK,1.0000,0.100,0.8575,0,none
9.082,-1.44433,1.03766,0.31232,0,3,0,FALLBACK,1.0000,0.100,0.8406,0,none
9.132,-1.55305,1.19540,0.27749,1,3,1,FALLBACK,1.0000,0.100,0.8333,0,none
9.182,-1.63811,1.17042,0.29472,0,3,0,FALLBACK,1.0000,0.100,0.8356,0,none
9.231,-1.51384,1.29154,0.28409,1,3,1,FALLBACK,1.0000,0.100,0.8381,0,none
9.283,-1.64939,1.34778,0.22470,1,3,2,FALLBACK,1.0000,0.100,0.8405,0,none
9.331,-1.76758,1.42550,0.26354,1,3,3,FALLBACK,1.0000,0.100,0.8430,0,none
9.383,-1.86784,1.31070,0.29578,0,3,0,FALLBACK,1.0000,0.100,0.8454,0,none
9.432,-1.94971,1.07469,0.27248,1,3,1,FALLBACK,1.0000,0.100,0.8477,0,none
9.482,-2.01274,1.32317,0.28614,0,3,0,FALLBACK,1.0000,0.100,0.8500,0,none
9.532,-2.05656,1.45424,0.30761,0,3,0,FALLBACK,1.0000,0.100,0.8523,0,none
9.584,-2.08087,0.81279,0.82497,0,3,0,FALLBACK,1.0000,0.100,0.8546,0,none
9.634,-2.08542,0.35204,0.99360,0,3,0,FALLBACK,1.0000,0.100,0.8568,0,none
9.684,-2.07006,-1.15275,0.73411,0,3,0,FALLBACK,1.0000,0.100,0.8590,0,none
9.734,-2.03467,-0.92112,0.87823,0,3,0,FALLBACK,1.0000,0.100,0.8612,0,none
9.785,-1.97924,-1.64826,0.44087,0,3,0,FALLBACK,1.0000,0.100,0.8633,0,none
9.834,-1.90381,-1.25225,0.35268,0,3,0,FALLBACK,1.0000,0.100,0.8654,0,none
9.883,-1.80849,-1.27061,0.27628,1,3,1,FALLBACK,1.0000,0.100,0.8674,0,none
9.934,-1.69349,-1.32881,0.26428,1,3,2,FALLBACK,1.0000,0.100,0.8695,0,none
9.985,-1.55908,-1.24817,0.28587,0,3,0,FALLBACK,1.0000,0.100,0.8715,0,none
10.037,-1.40559,-1.39772,0.50159,0,3,0,FALLBACK,1.0000,0.100,0.8735,0,none
10.086,-1.23344,-0.97381,0.26645,1,3,1,FALLBACK,1.0000,0.100,0.8754,0,none
10.137,-1.04313,-0.52931,0.25900,1,3,2,FALLBACK,1.0000,0.100,0.8773,0,none
10.187,-0.83523,-0.15368,0.19606,1,3,3,FALLBACK,1.0000,0.100,0.8792,0,none
10.234,-0.61036,-0.17902,0.14501,1,3,4,FALLBACK,0.4275,0.100,0.8810,0,none
10.286,-0.37001,-0.10240,0.12425,1,3,5,FALLBACK,-0.8517,0.100,0.8848,0,none
10.337,-0.13269,0.05921,0.13447,1,3,6,FALLBACK,-1.0000,0.100,0.8861,0,none
10.387,0.06518,0.01360,0.11525,1,3,7,FALLBACK,-1.0000,0.100,0.8659,0,none
10.436,0.23347,0.05004,0.09267,1,3,8,FALLBACK,-1.0000,0.100,0.8669,0,none
10.488,0.38386,0.09223,0.15719,1,3,9,FALLBACK,-1.0000,0.100,0.8689,0,none
10.536,0.51601,0.27456,0.15626,1,3,10,FALLBACK,-1.0000,0.100,0.8710,0,none
10.594,0.62923,0.50916,0.14488,1,3,11,FALLBACK,-1.0000,0.100,0.8730,0,none
10.626,0.72299,0.67773,0.19557,1,3,12,FALLBACK,-1.0000,0.100,0.8749,0,none
10.673,0.79683,0.75517,0.18760,1,3,13,FALLBACK,-1.0000,0.100,0.8769,0,none
10.725,0.85033,0.30290,0.15496,1,3,14,FALLBACK,-1.0000,0.100,0.8788,0,none
10.775,0.88320,0.35777,0.18639,1,3,15,FALLBACK,-1.0000,0.100,0.8806,0,none
10.827,0.89516,0.46938,0.20518,1,3,16,FALLBACK,-1.0000,0.100,0.8825,0,none
10.876,0.88605,0.35963,0.14449,1,3,17,FALLBACK,-1.0000,0.100,0.8843,0,none
10.925,0.85578,0.42155,0.17124,1,3,18,FALLBACK,-1.0000,0.100,0.8861,0,none
10.976,0.80431,0.31395,0.16702,1,3,19,FALLBACK,-1.0000,0.100,0.8879,0,none
11.026,0.73172,0.20305,0.16284,1,3,20,FALLBACK,-1.0000,0.100,0.8896,0,none
11.077,0.63814,0.27955,0.18019,1,3,21,FALLBACK,-1.0000,0.100,0.8913,0,none
11.127,0.52381,0.25157,0.17697,1,3,22,FALLBACK,-1.0000,0.100,0.8930,0,none
11.176,0.38902,0.24904,0.16822,1,3,23,FALLBACK,-1.0000,0.100,0.8947,0,none
11.229,0.23417,0.13985,0.15306,1,3,24,FALLBACK,-1.0000,0.100,0.8963,0,none
11.278,0.05973,0.02537,0.07911,1,3,25,FALLBACK,-0.9264,0.100,0.8979,0,none
11.328,-0.13333,0.14360,0.19053,1,3,26,FALLBACK,0.1319,0.100,0.9004,0,none
11.378,-0.33606,0.02849,0.13622,1,3,27,FALLBACK,1.0000,0.100,0.8941,0,none
11.427,-0.50886,0.07989,0.19778,1,3,28,FALLBACK,1.0000,0.100,0.8842,0,none
11.478,-0.63812,0.01300,0.09135,1,3,29,FALLBACK,1.0000,0.100,0.8823,0,none
11.528,-0.74572,0.00025,0.12410,1,0,30,MODEL,-0.2852,0.100,0.8840,0,none
11.579,-0.84056,0.01178,0.14841,1,0,30,MODEL,-0.2962,0.100,0.8734,0,none
11.628,-0.96936,0.20578,0.35390,0,1,30,MODEL,-0.2962,0.100,0.8787,0,none
11.678,-1.10810,0.23940,0.42599,0,2,30,MODEL,-0.2962,0.100,0.8823,0,none
11.729,-1.25298,0.59266,0.47306,0,3,0,FALLBACK,1.0000,0.100,0.8861,0,none
11.779,-1.39760,1.27356,0.39939,0,3,0,FALLBACK,1.0000,0.100,0.8698,0,none
11.827,-1.49209,1.16111,0.58083,0,3,0,FALLBACK,1.0000,0.100,0.8631,0,none
11.879,-1.56207,0.64374,0.58123,0,3,0,FALLBACK,1.0000,0.100,0.8650,0,none
11.937,-1.61259,0.32230,0.64664,0,3,0,FALLBACK,1.0000,0.100,0.8671,0,none
11.981,-1.64299,-0.51284,0.94755,0,3,0,FALLBACK,1.0000,0.100,0.8691,0,none
12.030,-1.65299,-1.09925,0.74882,0,3,0,FALLBACK,1.0000,0.100,0.8711,0,none
12.080,-1.64243,-0.21659,0.58279,0,3,0,FALLBACK,1.0000,0.100,0.8731,0,none
12.131,-1.61118,-0.35954,0.46551,0,3,0,FALLBACK,1.0000,0.100,0.8750,0,none
12.178,-1.55922,-0.97031,0.35779,0,3,0,FALLBACK,1.0000,0.100,0.8770,0,none
12.230,-1.48660,-1.05942,0.33455,0,3,0,FALLBACK,1.0000,0.100,0.8789,0,none
12.281,-1.39346,-1.00579,0.23335,1,3,1,FALLBACK,1.0000,0.100,0.8807,0,none
12.328,-1.28002,-0.90356,0.28451,1,3,2,FALLBACK,1.0000,0.100,0.8825,0,none
12.381,-1.14653,-0.56087,0.24081,1,3,3,FALLBACK,1.0000,0.100,0.8844,0,none
12.430,-0.99337,-0.48337,0.18253,1,3,4,FALLBACK,1.0000,0.100,0.8861,0,none
12.481,-0.82099,-0.20164,0.14518,1,3,5,FALLBACK,1.0000,0.100,0.8879,0,none
12.531,-0.62993,-0.13809,0.13459,1,3,6,FALLBACK,0.6943,0.100,0.8896,0,none
12.579,-0.42263,-0.05354,0.16232,1,3,7,FALLBACK,-0.4234,0.100,0.8934,0,none
12.632,-0.21416,-0.02090,0.12042,1,3,8,FALLBACK,-1.0000,0.100,0.8852,0,none
12.681,0.05229,0.06171,0.14374,1,3,9,FALLBACK,-1.0000,0.100,0.8786,0,none
12.730,0.13026,0.26969,0.19520,1,3,10,FALLBACK,-1.0000,0.100,0.8790,0,none
12.781,0.18694,0.14203,0.15918,1,3,11,FALLBACK,-1.0000,0.100,0.8808,0,none
12.830,0.22306,0.20595,0.15356,1,3,12,FALLBACK,-1.0000,0.100,0.8827,0,none
12.880,0.23822,0.16672,0.13185,1,3,13,FALLBACK,-1.0000,0.100,0.8845,0,none
12.931,0.23221,0.14109,0.11331,1,3,14,FALLBACK,-1.0000,0.100,0.8863,0,none
12.983,0.27847,0.01176,0.16346,1,3,15,FALLBACK,-1.0000,0.100,0.8881,0,none
13.032,0.16960,0.07373,0.12742,1,3,16,FALLBACK,-1.0000,0.100,0.8898,0,none
13.082,0.04031,0.05663,0.14203,1,3,17,FALLBACK,-1.0000,0.100,0.8915,0,none
13.132,-0.10904,0.06667,0.13047,1,3,18,FALLBACK,-0.2081,0.100,0.8932,0,none
13.184,-0.27226,0.07497,0.12736,1,3,19,FALLBACK,0.6774,0.100,0.8920,0,none
13.232,-0.41729,0.13451,0.16179,1,3,20,FALLBACK,1.0000,0.100,0.8865,0,none
13.282,-0.44131,-0.00892,0.13810,1,3,21,FALLBACK,0.8267,0.100,0.8827,0,none
13.333,-0.57649,-0.07769,0.10922,1,3,22,FALLBACK,1.0000,0.100,0.8850,0,none
13.383,-0.69962,-0.05318,0.17581,1,3,23,FALLBACK,1.0000,0.100,0.8884,0,none
13.432,-0.79992,-0.01400,0.14862,1,3,24,FALLBACK,1.0000,0.100,0.8873,0,none
13.483,-0.87781,0.01971,0.19620,1,3,25,FALLBACK,1.0000,0.100,0.8889,0,none
13.535,-0.93484,0.03782,0.25631,1,3,26,FALLBACK,1.0000,0.100,0.8906,0,none
13.584,-0.87587,0.10874,0.26415,1,3,27,FALLBACK,1.0000,0.100,0.8923,0,none
