time_s,frame,cte_true,cte_pred,u_de,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0,0.00079,0.05016,0.11152,1,0,0,MODEL,-0.3326,0.100,0.0000,0,none
0.185,1,0.00079,0.05016,0.11152,1,0,0,MODEL,-0.3326,0.100,0.0000,0,none
0.228,2,0.00072,0.05187,0.10370,1,0,0,MODEL,-0.3343,0.100,0.0092,0,none
0.280,3,0.00069,0.05955,0.10157,1,0,0,MODEL,-0.3416,0.100,0.0214,0,none
0.330,4,0.00021,-0.01015,0.09483,1,0,0,MODEL,-0.2754,0.100,0.0358,0,none
0.381,5,-0.00035,0.06480,0.11498,1,0,0,MODEL,-0.3466,0.100,0.0523,0,none
0.430,6,-0.00111,0.04967,0.10180,1,0,0,MODEL,-0.3322,0.100,0.0615,0,none
0.480,7,-0.00214,-0.01920,0.07110,1,0,0,MODEL,-0.2668,0.100,0.0747,0,none
0.531,8,-0.00335,-0.06310,0.15768,1,0,0,MODEL,-0.2251,0.100,0.0823,0,none
0.578,9,-0.00457,0.00326,0.10738,1,0,0,MODEL,-0.2881,0.100,0.0952,0,none
0.629,10,-0.00629,-0.00992,0.09847,1,0,0,MODEL,-0.2756,0.100,0.1097,0,none
0.679,11,-0.00841,-0.01806,0.11763,1,0,0,MODEL,-0.2678,0.100,0.1207,0,none
0.730,12,-0.01080,-0.04332,0.05189,1,0,0,MODEL,-0.2438,0.100,0.1324,0,none
0.780,13,-0.01342,0.01839,0.04965,1,0,0,MODEL,-0.3025,0.100,0.1440,0,none
0.831,14,-0.01045,0.00284,0.04602,1,0,0,MODEL,-0.2877,0.100,0.1655,0,none
0.881,15,-0.02065,0.02343,0.06865,1,0,0,MODEL,-0.3073,0.100,0.1684,0,none
0.932,16,-0.02560,-0.01182,0.05739,1,0,0,MODEL,-0.2738,0.100,0.1779,0,none
0.982,17,-0.02991,0.00760,0.03964,1,0,0,MODEL,-0.2922,0.100,0.1893,0,none
1.029,18,-0.03535,0.02517,0.04244,1,0,0,MODEL,-0.3089,0.100,0.2001,0,none
1.079,19,-0.04162,-0.00095,0.04675,1,0,0,MODEL,-0.2841,0.100,0.2109,0,none
1.131,20,-0.04847,-0.05172,0.04838,1,0,0,MODEL,-0.2359,0.100,0.2217,0,none
1.181,21,-0.05556,-0.08170,0.05717,1,0,0,MODEL,-0.2074,0.100,0.2323,0,none
1.231,22,-0.06289,-0.03781,0.07026,1,0,0,MODEL,-0.2491,0.100,0.2429,0,none
1.282,23,-0.07113,-0.07183,0.08112,1,0,0,MODEL,-0.2168,0.100,0.2533,0,none
1.331,24,-0.08009,-0.02510,0.07431,1,0,0,MODEL,-0.2612,0.100,0.2636,0,none
1.379,25,-0.09412,-0.09096,0.06585,1,0,0,MODEL,-0.1986,0.100,0.2731,0,none
1.433,26,-0.10036,-0.05105,0.05461,1,0,0,MODEL,-0.2365,0.100,0.2843,0,none
1.485,27,-0.11189,-0.09375,0.08215,1,0,0,MODEL,-0.1959,0.100,0.2940,0,none
1.533,28,-0.12415,-0.08853,0.06830,1,0,0,MODEL,-0.2009,0.100,0.3039,0,none
1.581,29,-0.13705,-0.04501,0.06471,1,0,0,MODEL,-0.2422,0.100,0.3137,0,none
1.632,30,-0.15141,-0.05051,0.05722,1,0,0,MODEL,-0.2370,0.100,0.3233,0,none
1.681,31,-0.16076,-0.12874,0.11701,1,0,0,MODEL,-0.1627,0.100,0.3335,0,none
1.733,32,-0.18382,-0.13823,0.10357,1,0,0,MODEL,-0.1537,0.100,0.3429,0,none
1.784,33,-0.19959,-0.21561,0.09399,1,0,0,MODEL,-0.0802,0.100,0.3516,0,none
1.834,34,-0.21595,-0.22535,0.10852,1,0,0,MODEL,-0.0709,0.100,0.3610,0,none
1.883,35,-0.23246,-0.21019,0.08259,1,0,0,MODEL,-0.0853,0.100,0.3702,0,none
1.935,36,-0.24976,-0.23244,0.09194,1,0,0,MODEL,-0.0642,0.100,0.3793,0,none
1.984,37,-0.27397,-0.18435,0.07907,1,0,0,MODEL,-0.1099,0.100,0.3884,0,none
2.035,38,-0.28727,-0.25572,0.08585,1,0,0,MODEL,-0.0421,0.100,0.3973,0,none
2.083,39,-0.30703,-0.19935,0.06064,1,0,0,MODEL,-0.0956,0.100,0.4062,0,none
2.134,40,-0.32704,-0.27266,0.09117,1,0,0,MODEL,-0.0260,0.100,0.4149,0,none
2.182,41,-0.34819,-0.29146,0.11087,1,0,0,MODEL,-0.0081,0.100,0.4236,0,none
2.234,42,-0.36887,-0.31365,0.10345,1,0,0,MODEL,0.0130,0.100,0.4322,0,none
2.284,43,-0.38937,-0.31767,0.11212,1,0,0,MODEL,0.0168,0.100,0.4407,0,none
2.335,44,-0.40997,-0.40569,0.09010,1,0,0,MODEL,0.1004,0.100,0.4491,0,none
2.384,45,-0.43037,-0.43598,0.10662,1,0,0,MODEL,0.1292,0.100,0.4574,0,none
2.436,46,-0.44912,-0.45684,0.10867,1,0,0,MODEL,0.1490,0.100,0.4656,0,none
2.485,47,-0.46675,-0.47646,0.10156,1,0,0,MODEL,0.1676,0.100,0.4737,0,none
2.533,48,-0.48333,-0.46752,0.10782,1,0,0,MODEL,0.1591,0.100,0.4817,0,none
2.582,49,-0.49882,-0.49131,0.11293,1,0,0,MODEL,0.1817,0.100,0.4897,0,none
2.634,50,-0.51350,-0.51467,0.08713,1,0,0,MODEL,0.2039,0.100,0.4976,0,none
2.686,51,-0.52669,-0.53107,0.09212,1,0,0,MODEL,0.2195,0.100,0.5054,0,none
2.738,52,-0.53814,-0.55827,0.08629,1,0,0,MODEL,0.2454,0.100,0.5131,0,none
2.784,53,-0.54772,-0.56762,0.09798,1,0,0,MODEL,0.2542,0.100,0.5208,0,none
2.837,54,-0.55508,-0.61039,0.11190,1,0,0,MODEL,0.2949,0.100,0.5283,0,none
2.886,55,-0.56013,-0.57233,0.09316,1,0,0,MODEL,0.2587,0.100,0.5357,0,none
2.938,56,-0.56240,-0.55622,0.09971,1,0,0,MODEL,0.2434,0.100,0.5432,0,none
2.986,57,-0.56321,-0.56023,0.08236,1,0,0,MODEL,0.2472,0.100,0.5506,0,none
3.037,58,-0.56230,-0.47200,0.07467,1,0,0,MODEL,0.1634,0.100,0.5579,0,none
3.085,59,-0.55968,-0.46774,0.07711,1,0,0,MODEL,0.1594,0.100,0.5652,0,none
3.138,60,-0.55705,-0.48576,0.06861,1,0,0,MODEL,0.1765,0.100,0.5724,0,none
3.188,61,-0.55310,-0.49554,0.07369,1,0,0,MODEL,0.1858,0.100,0.5794,0,none
3.238,62,-0.54698,-0.49682,0.09664,1,0,0,MODEL,0.1870,0.100,0.5864,0,none
3.288,63,-0.53885,-0.53689,0.11186,1,0,0,MODEL,0.2250,0.100,0.5933,0,none
3.339,64,-0.52854,-0.46863,0.08027,1,0,0,MODEL,0.1602,0.100,0.6001,0,none
3.388,65,-0.51556,-0.52095,0.11153,1,0,0,MODEL,0.2099,0.100,0.6069,0,none
3.438,66,-0.50157,-0.54888,0.12872,1,0,0,MODEL,0.2364,0.100,0.6136,0,none
3.488,67,-0.48434,-0.55557,0.11167,1,0,0,MODEL,0.2428,0.100,0.6201,0,none
3.538,68,-0.46366,-0.48769,0.11918,1,0,0,MODEL,0.1783,0.100,0.6277,0,none
3.587,69,-0.44062,-0.46148,0.11224,1,0,0,MODEL,0.1534,0.100,0.6335,0,none
3.641,70,-0.41677,-0.45087,0.09918,1,0,0,MODEL,0.1433,0.100,0.6397,0,none
3.690,71,-0.39161,-0.43564,0.11326,1,0,0,MODEL,0.1289,0.100,0.6461,0,none
3.740,72,-0.36483,-0.46490,0.10567,1,0,0,MODEL,0.1567,0.100,0.6526,0,none
3.789,73,-0.33641,-0.33965,0.11046,1,0,0,MODEL,0.0377,0.100,0.6586,0,none
3.839,74,-0.30611,-0.25406,0.09374,1,0,0,MODEL,-0.0436,0.100,0.6649,0,none
3.889,75,-0.27811,-0.32900,0.10692,1,0,0,MODEL,0.0275,0.100,0.6710,0,none
3.939,76,-0.25172,-0.25203,0.11251,1,0,0,MODEL,-0.0456,0.100,0.6770,0,none
3.990,77,-0.22384,-0.19328,0.08858,1,0,0,MODEL,-0.1014,0.100,0.6829,0,none
4.040,78,-0.19813,-0.22067,0.10086,1,0,0,MODEL,-0.0754,0.100,0.6889,0,none
4.091,79,-0.17464,-0.14676,0.08632,1,0,0,MODEL,-0.1456,0.100,0.6947,0,none
4.140,80,-0.15158,-0.16122,0.07298,1,0,0,MODEL,-0.1318,0.100,0.7005,0,none
4.192,81,-0.13181,-0.09517,0.08236,1,0,0,MODEL,-0.1946,0.100,0.7062,0,none
4.241,82,-0.11372,-0.05541,0.08774,1,0,0,MODEL,-0.2324,0.100,0.7118,0,none
4.292,83,-0.09965,-0.02903,0.07614,1,0,0,MODEL,-0.2574,0.100,0.7173,0,none
4.343,84,-0.08987,-0.05057,0.07402,1,0,0,MODEL,-0.2370,0.100,0.7228,0,none
4.391,85,-0.08440,-0.03882,0.07709,1,0,0,MODEL,-0.2481,0.100,0.7283,0,none
4.444,86,-0.08199,-0.06006,0.07160,1,0,0,MODEL,-0.2279,0.100,0.7337,0,none
4.493,87,-0.08338,0.00595,0.08494,1,0,0,MODEL,-0.2906,0.100,0.7391,0,none
4.542,88,-0.08795,-0.09595,0.07999,1,0,0,MODEL,-0.1938,0.100,0.7444,0,none
4.592,89,-0.09819,-0.10533,0.06583,1,0,0,MODEL,-0.1849,0.100,0.7496,0,none
4.641,90,-0.10955,-0.10521,0.05668,1,0,0,MODEL,-0.1850,0.100,0.7550,0,none
4.692,91,-0.12331,-0.16928,0.06842,1,0,0,MODEL,-0.1242,0.100,0.7602,0,none
4.743,92,-0.13927,-0.19964,0.09128,1,0,0,MODEL,-0.0953,0.100,0.7654,0,none
4.792,93,-0.15574,-0.17460,0.08360,1,0,0,MODEL,-0.1191,0.100,0.7705,0,none
4.844,94,-0.17363,-0.19077,0.10002,1,0,0,MODEL,-0.1038,0.100,0.7755,0,none
4.893,95,-0.19386,-0.14664,0.06957,1,0,0,MODEL,-0.1457,0.100,0.7806,0,none
4.941,96,-0.21627,-0.22405,0.10604,1,0,0,MODEL,-0.0722,0.100,0.7854,0,none
4.993,97,-0.24106,-0.18716,0.09433,1,0,0,MODEL,-0.1072,0.100,0.7903,0,none
5.042,98,-0.26633,-0.28128,0.10136,1,0,0,MODEL,-0.0178,0.100,0.7952,0,none
5.092,99,-0.29296,-0.36511,0.08083,1,0,0,MODEL,0.0619,0.100,0.7999,0,none
5.142,100,-0.31718,-0.36623,0.06378,1,0,0,MODEL,0.0629,0.100,0.8046,0,none
5.194,101,-0.33878,-0.41999,0.07007,1,0,0,MODEL,0.1140,0.100,0.8093,0,none
5.245,102,-0.35856,-0.28521,0.09706,1,0,0,MODEL,-0.0141,0.100,0.8138,0,none
5.278,103,-0.37725,-0.31518,0.09870,1,0,0,MODEL,0.0144,0.100,0.8184,0,none
5.327,104,-0.39813,-0.29879,0.09497,1,0,0,MODEL,-0.0011,0.100,0.8230,0,none
5.379,105,-0.41885,-0.31452,0.10750,1,0,0,MODEL,0.0138,0.100,0.8275,0,none
5.429,106,-0.43958,-0.34010,0.12140,1,0,0,MODEL,0.0381,0.100,0.8320,0,none
5.476,107,-0.45936,-0.33550,0.12467,1,0,0,MODEL,0.0337,0.100,0.8364,0,none
5.527,108,-0.47822,-0.38928,0.12376,1,0,0,MODEL,0.0848,0.100,0.8408,0,none
5.577,109,-0.49536,-0.42413,0.11192,1,0,0,MODEL,0.1179,0.100,0.8450,0,none
5.627,110,-0.50933,-0.37874,0.12955,1,0,0,MODEL,0.0748,0.100,0.8492,0,none
5.681,111,-0.52148,-0.33834,0.14415,1,0,0,MODEL,0.0364,0.100,0.8535,0,none
5.728,112,-0.53375,-0.29648,0.11302,1,0,0,MODEL,-0.0033,0.100,0.8578,0,none
5.778,113,-0.54687,-0.18135,0.07413,1,0,0,MODEL,-0.1127,0.100,0.8620,0,none
5.829,114,-0.56342,-0.26356,0.09013,1,0,0,MODEL,-0.0346,0.100,0.8659,0,none
5.880,115,-0.40946,-0.32666,0.08013,1,0,0,MODEL,0.0253,0.100,0.8700,0,none
5.930,116,-0.51895,-0.54433,0.10770,1,0,0,MODEL,0.2321,0.100,0.8740,0,none
5.978,117,-0.62237,-0.66950,0.09583,1,0,0,MODEL,0.3510,0.100,0.8769,0,none
6.028,118,-0.71541,-0.69627,0.07991,1,0,0,MODEL,0.3765,0.100,0.8800,0,none
6.079,119,-0.79905,-0.53579,0.07205,1,0,0,MODEL,0.2240,0.100,0.8835,0,none
6.128,120,-0.87843,-0.49438,0.10627,1,0,0,MODEL,0.1847,0.100,0.8877,0,none
6.179,121,-0.95673,-0.73257,0.10057,1,0,0,MODEL,0.4109,0.100,0.8918,0,none
6.230,122,-0.90549,-0.95790,0.10247,1,0,0,MODEL,0.6250,0.100,0.8936,0,none
6.281,123,-1.04943,-1.01200,0.08454,1,0,0,MODEL,0.6764,0.100,0.8944,0,none
6.331,124,-1.17635,-1.06705,0.11511,1,0,0,MODEL,0.7287,0.100,0.8967,0,none
6.380,125,-1.28737,-1.09501,0.13444,1,0,0,MODEL,0.7553,0.100,0.8989,0,none
6.429,126,-1.38166,-1.20323,0.14908,1,0,0,MODEL,0.8581,0.100,0.9012,0,none
6.480,127,-1.45659,-1.36184,0.10938,1,0,0,MODEL,1.0000,0.100,0.9020,0,none
6.530,128,-1.31585,-1.51391,0.09692,1,0,0,MODEL,1.0000,0.100,0.9016,0,none
6.581,129,-1.43754,-1.51211,0.13643,1,0,0,MODEL,1.0000,0.100,0.9027,0,none
6.632,130,-1.53832,-1.56947,0.14937,1,0,0,MODEL,1.0000,0.100,0.9042,0,none
6.679,131,-1.61781,-1.51307,0.11660,1,0,0,MODEL,1.0000,0.100,0.9057,0,none
6.731,132,-1.67558,-1.43863,0.11189,1,0,0,MODEL,1.0000,0.100,0.9072,0,none
6.782,133,-1.71130,-1.38912,0.10576,1,0,0,MODEL,1.0000,0.100,0.9086,0,none
6.831,134,-1.72473,-1.47565,0.11591,1,0,0,MODEL,1.0000,0.100,0.9100,0,none
6.880,135,-1.54150,-1.52972,0.11262,1,0,0,MODEL,1.0000,0.100,0.9114,0,none
6.932,136,-1.60806,-1.55868,0.11016,1,0,0,MODEL,1.0000,0.100,0.9127,0,none
6.982,137,-1.65240,-1.55133,0.10010,1,0,0,MODEL,1.0000,0.100,0.9141,0,none
7.030,138,-1.67424,-1.38821,0.11401,1,0,0,MODEL,1.0000,0.100,0.9154,0,none
7.080,139,-1.67338,-1.33106,0.13536,1,0,0,MODEL,0.9795,0.100,0.9167,0,none
7.130,140,-1.64992,-1.27968,0.11607,1,0,0,MODEL,0.9307,0.100,0.9182,0,none
7.182,141,-1.60502,-1.25725,0.14186,1,0,0,MODEL,0.9094,0.100,0.9203,0,none
7.232,142,-1.39888,-1.24527,0.15292,1,0,0,MODEL,0.8980,0.100,0.9225,0,none
7.283,143,-1.41316,-1.25675,0.15817,1,0,0,MODEL,0.9089,0.100,0.9245,0,none
7.330,144,-1.40682,-1.18173,0.15000,1,0,0,MODEL,0.8376,0.100,0.9261,0,none
7.383,145,-1.37963,-0.95907,0.11182,1,0,0,MODEL,0.6261,0.100,0.9285,0,none
7.433,146,-1.33623,-0.91915,0.10068,1,0,0,MODEL,0.5882,0.100,0.9323,0,none
7.484,147,-1.28339,-0.93770,0.08545,1,0,0,MODEL,0.6058,0.100,0.9363,0,none
7.532,148,-1.03875,-0.95943,0.07046,1,0,0,MODEL,0.6265,0.100,0.9390,0,none
7.583,149,-1.05906,-0.97948,0.11091,1,0,0,MODEL,0.6455,0.100,0.9414,0,none
7.633,150,-1.06345,-0.88215,0.12634,1,0,0,MODEL,0.5530,0.100,0.9437,0,none
7.682,151,-1.05229,-0.71344,0.12214,1,0,0,MODEL,0.3928,0.100,0.9467,0,none
7.738,152,-1.03087,-0.67330,0.10893,1,0,0,MODEL,0.3546,0.100,0.9505,0,none
7.783,153,-1.00354,-0.67966,0.11772,1,0,0,MODEL,0.3607,0.100,0.9540,0,none
7.832,154,-0.78837,-0.78443,0.12049,1,0,0,MODEL,0.4602,0.100,0.9571,0,none
7.885,155,-0.84664,-0.85453,0.10833,1,0,0,MODEL,0.5268,0.100,0.9594,0,none
7.937,156,-0.89059,-0.79558,0.09802,1,0,0,MODEL,0.4708,0.100,0.9613,0,none
7.985,157,-0.91993,-0.74273,0.07907,1,0,0,MODEL,0.4206,0.100,0.9639,0,none
8.034,158,-0.93883,-0.62896,0.08576,1,0,0,MODEL,0.3125,0.100,0.9671,0,none
8.086,159,-0.94911,-0.76637,0.07293,1,0,0,MODEL,0.4431,0.100,0.9703,0,none
8.135,160,-0.79102,-0.86790,0.08161,1,0,0,MODEL,0.5395,0.100,0.9726,0,none
8.185,161,-0.88392,-0.94413,0.09668,1,0,0,MODEL,0.6119,0.100,0.9740,0,none
8.234,162,-0.96001,-0.97025,0.11384,1,0,0,MODEL,0.6367,0.100,0.9754,0,none
8.286,163,-1.01831,-0.94550,0.11739,1,0,0,MODEL,0.6132,0.100,0.9770,0,none
8.335,164,-1.05958,-0.86136,0.06209,1,0,0,MODEL,0.5333,0.100,0.9792,0,none
8.387,165,-1.08602,-0.85470,0.06948,1,0,0,MODEL,0.5270,0.100,0.9819,0,none
8.437,166,-0.95522,-0.96972,0.07711,1,0,0,MODEL,0.6362,0.100,0.9846,0,none
8.484,167,-1.06027,-1.05342,0.11740,1,0,0,MODEL,0.7158,0.100,0.9858,0,none
8.536,168,-1.14568,-1.10349,0.10842,1,0,0,MODEL,0.7633,0.100,0.9865,0,none
8.587,169,-1.20977,-1.14527,0.12135,1,0,0,MODEL,0.8030,0.100,0.9872,0,none
8.638,170,-1.25203,-1.13642,0.11482,1,0,0,MODEL,0.7946,0.100,0.9879,0,none
8.687,171,-1.27195,-1.27466,0.13754,1,0,0,MODEL,0.9259,0.100,0.9891,0,none
8.737,172,-1.26955,-1.35036,0.11969,1,0,0,MODEL,0.9978,0.100,0.9884,0,none
8.786,173,-1.23861,-1.19730,0.09319,1,0,0,MODEL,0.8524,0.100,0.9872,0,none
8.838,174,-1.18050,-1.11716,0.12467,1,0,0,MODEL,0.7763,0.100,0.9886,0,none
8.887,175,-1.10393,-1.15144,0.11833,1,0,0,MODEL,0.8089,0.100,0.9913,0,none
8.938,176,-1.00888,-1.02337,0.09136,1,0,0,MODEL,0.6872,0.100,0.9927,0,none
8.986,177,-0.89314,-0.88553,0.10694,1,0,0,MODEL,0.5563,0.100,0.9948,0,none
9.034,178,-0.76301,-0.71921,0.09337,1,0,0,MODEL,0.3982,0.100,0.9981,0,none
9.087,179,-0.62249,-0.50017,0.11288,1,0,0,MODEL,0.1902,0.100,1.0014,0,none
9.138,180,-0.47638,-0.34258,0.08398,1,0,0,MODEL,0.0405,0.100,1.0047,0,none
9.185,181,-0.33047,-0.18825,0.06212,1,0,0,MODEL,-0.1062,0.100,1.0077,0,none
9.238,182,-0.18759,-0.00954,0.10688,1,0,0,MODEL,-0.2759,0.100,1.0101,0,none
9.288,183,-0.05171,-0.05395,0.11351,1,0,0,MODEL,-0.2337,0.100,1.0118,0,none
9.338,184,0.07361,0.05403,0.14638,1,0,0,MODEL,-0.3363,0.100,1.0142,0,none
9.387,185,0.19252,0.24970,0.08470,1,0,0,MODEL,-0.5222,0.100,1.0162,0,none
9.438,186,0.29879,0.38080,0.11867,1,0,0,MODEL,-0.6468,0.100,1.0166,0,none
9.488,187,0.38515,0.34896,0.12746,1,0,0,MODEL,-0.6165,0.100,1.0167,0,none
9.538,188,0.45042,0.43636,0.16916,1,0,0,MODEL,-0.6995,0.100,1.0181,0,none
9.590,189,0.49810,0.31762,0.12765,1,0,0,MODEL,-0.5867,0.100,1.0189,0,none
9.638,190,0.52509,0.39709,0.14358,1,0,0,MODEL,-0.6622,0.100,1.0207,0,none
9.690,191,0.53711,0.47070,0.11610,1,0,0,MODEL,-0.7322,0.100,1.0221,0,none
9.739,192,0.52814,0.40700,0.13576,1,0,0,MODEL,-0.6716,0.100,1.0224,0,none
9.788,193,0.49686,0.35928,0.12783,1,0,0,MODEL,-0.6263,0.100,1.0238,0,none
9.838,194,0.44794,0.36390,0.14483,1,0,0,MODEL,-0.6307,0.100,1.0258,0,none
9.891,195,0.38228,0.30102,0.13459,1,0,0,MODEL,-0.5710,0.100,1.0274,0,none
9.940,196,0.29908,0.26602,0.12139,1,0,0,MODEL,-0.5377,0.100,1.0293,0,none
9.991,197,0.20109,0.11566,0.11262,1,0,0,MODEL,-0.3949,0.100,1.0314,0,none
10.040,198,0.09081,0.08562,0.08646,1,0,0,MODEL,-0.3663,0.100,1.0342,0,none
10.090,199,-0.02778,0.00398,0.10423,1,0,0,MODEL,-0.2888,0.100,1.0366,0,none
10.139,200,-0.15565,-0.20958,0.09279,1,0,0,MODEL,-0.0859,0.100,1.0390,0,none
10.190,201,-0.28882,-0.31564,0.08415,1,0,0,MODEL,0.0149,0.100,1.0414,0,none
10.242,202,-0.42057,-0.44852,0.09054,1,0,0,MODEL,0.1411,0.100,1.0438,0,none
10.290,203,-0.54980,-0.55749,0.09183,1,0,0,MODEL,0.2446,0.100,1.0458,0,none
10.339,204,-0.67240,-0.64865,0.08532,1,0,0,MODEL,0.3312,0.100,1.0475,0,none
10.389,205,-0.78547,-0.77455,0.07721,1,0,0,MODEL,0.4508,0.100,1.0489,0,none
10.442,206,-0.88662,-0.85909,0.09170,1,0,0,MODEL,0.5311,0.100,1.0499,0,none
10.491,207,-0.97153,-0.94542,0.11880,1,0,0,MODEL,0.6131,0.100,1.0504,0,none
10.541,208,-1.03819,-0.94537,0.12054,1,0,0,MODEL,0.6131,0.100,1.0508,0,none
10.592,209,-1.08428,-1.03306,0.15676,1,0,0,MODEL,0.6964,0.100,1.0513,0,none
10.643,210,-1.10991,-1.04517,0.11925,1,0,0,MODEL,0.7079,0.100,1.0513,0,none
10.693,211,-1.11258,-1.08106,0.12776,1,0,0,MODEL,0.7420,0.100,1.0518,0,none
10.743,212,-1.09339,-1.03364,0.11426,1,0,0,MODEL,0.6970,0.100,1.0522,0,none
10.791,213,-1.05107,-0.95031,0.09434,1,0,0,MODEL,0.6178,0.100,1.0528,0,none
10.841,214,-0.98863,-0.93249,0.08955,1,0,0,MODEL,0.6009,0.100,1.0544,0,none
10.893,215,-0.90938,-0.86335,0.08688,1,0,0,MODEL,0.5352,0.100,1.0562,0,none
10.943,216,-0.81296,-0.67042,0.05964,1,0,0,MODEL,0.3519,0.100,1.0579,0,none
10.991,217,-0.70205,-0.42383,0.11107,1,0,0,MODEL,0.1176,0.100,1.0603,0,none
11.043,218,-0.58438,-0.22653,0.13530,1,0,0,MODEL,-0.0698,0.100,1.0630,0,none
11.093,219,-0.46823,-0.15987,0.12916,1,0,0,MODEL,-0.1331,0.100,1.0652,0,none
11.144,220,-0.35831,-0.06385,0.18906,1,0,0,MODEL,-0.2243,0.100,1.0670,0,none
11.194,221,-0.25423,-0.04363,0.15832,1,0,0,MODEL,-0.2435,0.100,1.0687,0,none
11.242,222,-0.10306,-0.02528,0.17398,1,0,0,MODEL,-0.2610,0.100,1.0703,0,none
11.295,223,-0.08987,0.18101,0.12654,1,0,0,MODEL,-0.4570,0.100,1.0720,0,none
11.343,224,-0.08576,0.10120,0.09565,1,0,0,MODEL,-0.3811,0.100,1.0728,0,none
11.378,225,-0.09991,0.03274,0.10778,1,0,0,MODEL,-0.3161,0.100,1.0735,0,none
11.429,226,-0.12470,-0.12112,0.12319,1,0,0,MODEL,-0.1699,0.100,1.0757,0,none
11.479,227,-0.12105,-0.23200,0.12018,1,0,0,MODEL,-0.0646,0.100,1.0779,0,none
11.527,228,-0.22706,-0.26412,0.14092,1,0,0,MODEL,-0.0341,0.100,1.0799,0,none
11.579,229,-0.33281,-0.26992,0.10378,1,0,0,MODEL,-0.0286,0.100,1.0819,0,none
11.631,230,-0.43911,-0.37838,0.10917,1,0,0,MODEL,0.0745,0.100,1.0838,0,none
11.681,231,-0.44338,-0.56100,0.11722,1,0,0,MODEL,0.2479,0.100,1.0854,0,none
11.729,232,-0.61334,-0.83430,0.08110,1,0,0,MODEL,0.5076,0.100,1.0863,0,none
11.780,233,-0.76823,-0.90333,0.08668,1,0,0,MODEL,0.5732,0.100,1.0848,0,none
11.831,234,-0.90106,-0.94760,0.11631,1,0,0,MODEL,0.6152,0.100,1.0844,0,none
11.880,235,-1.01384,-1.03036,0.12800,1,0,0,MODEL,0.6938,0.100,1.0845,0,none
11.932,236,-0.99159,-1.06614,0.14639,1,0,0,MODEL,0.7278,0.100,1.0839,0,none
11.980,237,-1.13159,-1.12803,0.12756,1,0,0,MODEL,0.7866,0.100,1.0835,0,none
12.031,238,-1.24786,-1.16322,0.13401,1,0,0,MODEL,0.8201,0.100,1.0828,0,none
12.082,239,-1.33784,-1.14777,0.11910,1,0,0,MODEL,0.8054,0.100,1.0819,0,none
12.130,240,-1.40113,-1.23968,0.10893,1,0,0,MODEL,0.8927,0.100,1.0816,0,none
12.182,241,-1.43831,-1.27925,0.11447,1,0,0,MODEL,0.9303,0.100,1.0802,0,none
12.233,242,-1.38777,-1.34723,0.10328,1,0,0,MODEL,0.9949,0.100,1.0783,0,none
12.281,243,-1.43786,-1.33090,0.11258,1,0,0,MODEL,0.9794,0.100,1.0760,0,none
12.333,244,-1.45512,-1.28184,0.13705,1,0,0,MODEL,0.9328,0.100,1.0743,0,none
12.381,245,-1.44330,-1.31118,0.12521,1,0,0,MODEL,0.9606,0.100,1.0743,0,none
12.433,246,-1.40248,-1.29166,0.13810,1,0,0,MODEL,0.9421,0.100,1.0728,0,none
12.482,247,-1.25700,-1.27629,0.12949,1,0,0,MODEL,0.9275,0.100,1.0721,0,none
12.531,248,-1.23232,-1.14500,0.15472,1,0,0,MODEL,0.8028,0.100,1.0716,0,none
12.581,249,-1.18270,-1.15934,0.16066,1,0,0,MODEL,0.8164,0.100,1.0732,0,none
12.633,250,-1.11005,-1.10094,0.15418,1,0,0,MODEL,0.7609,0.100,1.0732,0,none
12.683,251,-1.01361,-0.99830,0.11787,1,0,0,MODEL,0.6634,0.100,1.0741,0,none
12.735,252,-0.80828,-0.96526,0.10824,1,0,0,MODEL,0.6320,0.100,1.0760,0,none
12.783,253,-0.74744,-0.94228,0.12532,1,0,0,MODEL,0.6102,0.100,1.0772,0,none
12.834,254,-0.66792,-0.77273,0.12976,1,0,0,MODEL,0.4491,0.100,1.0784,0,none
12.883,255,-0.57389,-0.69585,0.13018,1,0,0,MODEL,0.3761,0.100,1.0809,0,none
12.935,256,-0.47019,-0.54241,0.09162,1,0,0,MODEL,0.2303,0.100,1.0831,0,none
12.982,257,-0.35956,-0.44067,0.11711,1,0,0,MODEL,0.1336,0.100,1.0855,0,none
13.034,258,-0.24615,-0.34448,0.11193,1,0,0,MODEL,0.0423,0.100,1.0876,0,none
13.084,259,-0.13213,-0.13679,0.08172,1,0,0,MODEL,-0.1550,0.100,1.0895,0,none
13.132,260,-0.02323,-0.12686,0.12072,1,0,0,MODEL,-0.1645,0.100,1.0906,0,none
13.184,261,0.07780,-0.01490,0.12660,1,0,0,MODEL,-0.2708,0.100,1.0923,0,none
13.233,262,0.17059,0.04501,0.13430,1,0,0,MODEL,-0.3278,0.100,1.0933,0,none
13.284,263,0.25153,0.17326,0.13804,1,0,0,MODEL,-0.4496,0.100,1.0944,0,none
13.336,264,0.31741,0.15444,0.15126,1,0,0,MODEL,-0.4317,0.100,1.0945,0,none
13.385,265,0.36714,0.22292,0.15049,1,0,0,MODEL,-0.4968,0.100,1.0957,0,none
13.436,266,0.40108,0.20309,0.14720,1,0,0,MODEL,-0.4779,0.100,1.0961,0,none
